dataset_name,H-FCN-mean,H-FCN-std,H-FCNTime
ACSF1,0.88,0.006324555320337,0.92
Adiac,0.832225063938619,0.015565344301486,0.849104859335038
AllGestureWiimoteX,0.766571428571429,0.008787746570988,0.77
AllGestureWiimoteY,0.813428571428571,0.007148569144684,0.824285714285714
AllGestureWiimoteZ,0.758,0.009196272536818,0.768571428571429
ArrowHead,0.859428571428571,0.017925013875838,0.857142857142857
BME,0.962666666666667,0.003265986323711,0.96
Beef,0.753333333333333,0.026666666666667,0.733333333333333
BeetleFly,0.85,0.054772255750517,0.85
BirdChicken,0.89,0.02,0.9
CBF,0.997111111111111,0.001507184440695,0.997777777777778
Car,0.893333333333333,0.016996731711976,0.916666666666667
Chinatown,0.980758017492711,0.002332361516035,0.979591836734694
ChlorineConcentration,0.836979166666667,0.00353630108266,0.847135416666667
CinCECGTorso,0.877391304347826,0.007550154363844,0.880434782608696
Coffee,1,0,1
Computers,0.8176,0.004079215610874,0.824
CricketX,0.806153846153846,0.005523245956035,0.815384615384615
CricketY,0.843076923076923,0.011960926963785,0.851282051282051
CricketZ,0.829230769230769,0.005024594344171,0.835897435897436
Crop,0.737035714285714,0.000615603974945,0.753333333333333
DiatomSizeReduction,0.475816993464052,0.133717248131184,0.568627450980392
DistalPhalanxOutlineAgeGroup,0.699280575539568,0.0123774464274,0.705035971223021
DistalPhalanxOutlineCorrect,0.767391304347826,0.008992517134776,0.768115942028985
DistalPhalanxTW,0.650359712230216,0.0161510390796,0.618705035971223
DodgerLoopDay,0.495,0.023184046238739,0.525
DodgerLoopGame,0.823188405797101,0.01084538372978,0.826086956521739
DodgerLoopWeekend,0.94927536231884,0.006481356456521,0.956521739130435
ECG200,0.87,0.012649110640674,0.87
ECG5000,0.939422222222222,0.001612298413086,0.939333333333333
ECGFiveDays,1,0,1
EOGHorizontalSignal,0.585082872928177,0.013801100548947,0.585635359116022
EOGVerticalSignal,0.45414364640884,0.005950458350425,0.455801104972376
Earthquakes,0.726618705035971,0.014388489208633,0.733812949640288
ElectricDevices,0.722215017507457,0.002748584991153,0.732460121903774
EthanolLevel,0.7044,0.042226058305269,0.756
FaceAll,0.904733727810651,0.0359517979258,0.916568047337278
FaceFour,0.931818181818182,0.007186994682201,0.931818181818182
FacesUCR,0.958146341463415,0.003454815845781,0.961463414634146
FiftyWords,0.798241758241758,0.007276019937251,0.808791208791209
Fish,0.982857142857143,0.003614031611621,0.977142857142857
FordA,0.944848484848485,0.002055251510038,0.946969696969697
FordB,0.826666666666667,0.004458140761795,0.839506172839506
FreezerRegularTrain,0.997052631578947,0.000787717344584,0.99719298245614
FreezerSmallTrain,0.810035087719298,0.020754141268893,0.815438596491228
Fungi,0.149462365591398,0.080852779342398,0.209677419354839
GestureMidAirD1,0.74,0.008970695222839,0.753846153846154
GestureMidAirD2,0.681538461538462,0.017941390445678,0.684615384615385
GestureMidAirD3,0.386153846153846,0.023533936216582,0.407692307692308
GesturePebbleZ1,0.923255813953488,0.006780176621913,0.930232558139535
GesturePebbleZ2,0.89873417721519,0.019197153022915,0.911392405063291
GunPoint,1,0,1
GunPointAgeSpan,0.993670886075949,0,0.993670886075949
GunPointMaleVersusFemale,0.996835443037975,1.11022302462516E-16,0.996835443037975
GunPointOldVersusYoung,0.997460317460318,0.002375655483666,1
Ham,0.712380952380952,0.027864264453958,0.733333333333333
HandOutlines,0.931351351351352,0.016089595747175,0.937837837837838
Haptics,0.542207792207792,0.008466496630133,0.564935064935065
Herring,0.671875,0.017116329922037,0.640625
HouseTwenty,0.988235294117647,0.004116789483669,0.983193277310924
InlineSkate,0.466909090909091,0.008244206580912,0.483636363636364
InsectEPGRegularTrain,1,0,1
InsectEPGSmallTrain,0.44578313253012,0.0959494821463,0.542168674698795
InsectWingbeatSound,0.593535353535353,0.007521014330904,0.605555555555555
ItalyPowerDemand,0.96287657920311,0.001781370532539,0.963070942662779
LargeKitchenAppliances,0.901333333333333,0.004462186808182,0.909333333333333
Lightning2,0.770491803278688,0.027431476279806,0.754098360655738
Lightning7,0.824657534246575,0.018173286522495,0.808219178082192
Mallat,0.970490405117271,0.001385763480535,0.970575692963753
